pc1,pc2,y
-1.0221152,2.540772,0.0
-0.9896006,2.5545738,0.0
-0.9892016,2.5333378,0.0
-0.8928016,2.2261162,0.0
-0.89802796,2.3374703,0.0
-0.8873166,2.3845532,0.0
-0.87968594,2.3881843,0.0
-0.743332,2.1397712,0.0
-0.7817806,2.206784,0.0
-0.74034667,2.212549,0.0
-0.68944925,2.1671116,0.0
-0.7253816,2.3148293,0.0
-0.5153773,1.9192191,0.0
-0.44755664,1.8857194,0.0
-0.3956348,1.8454584,0.0
-0.47669002,1.969048,0.0
-0.3583589,1.8540548,0.0
-0.34224197,1.8458244,0.0
-0.24769588,1.7920991,0.0
-0.24441077,1.8244147,0.0
-0.117321745,1.7171544,0.0
-0.16382127,1.7986377,0.0
-0.28209567,1.9396329,0.0
-0.05057285,1.747243,0.0
-0.18404928,1.8831501,0.0
-0.12768249,1.823316,0.0
0.030128635,1.7376027,0.0
-0.063236125,1.8405734,0.0
0.06787832,1.738857,0.0
0.14686862,1.7073123,0.0
0.3663215,1.6031338,0.0
0.28919837,1.6623373,0.0
0.3160849,1.6518441,0.0
0.3328825,1.6651953,0.0
0.26926053,1.7206751,0.0
0.7693762,1.5285579,0.0
0.64629865,1.5674806,0.0
0.37663156,1.7028811,0.0
0.5129891,1.6424686,0.0
0.68099767,1.5912396,0.0
0.8271318,1.5499109,0.0
0.82517624,1.5566137,0.0
0.8164546,1.5703248,0.0
1.2375038,1.5014598,0.0
0.8887817,1.5687742,0.0
0.6263824,1.6634122,0.0
0.73035383,1.6345971,0.0
1.2731041,1.5090852,0.0
1.3350763,1.5084994,0.0
1.1964536,1.530002,0.0
1.3013302,1.525789,0.0
1.4521264,1.5142158,0.0
1.5423137,1.5024389,0.0
1.2431071,1.551263,0.0
1.2822077,1.5493095,0.0
1.7043047,1.4996133,0.0
1.7218678,1.5108919,0.0
1.2578546,1.5841426,0.0
1.5876437,1.5287194,0.0
1.6098384,1.5353969,0.0
2.04261,1.5132501,0.0
1.8252245,1.5175252,0.0
1.3702244,1.5859054,0.0
1.3983781,1.5931488,0.0
1.4810777,1.5790637,0.0
2.204845,1.5079263,0.0
2.2781916,1.5005163,0.0
1.6744463,1.5598658,0.0
1.9809868,1.5173633,0.0
2.3859177,1.4970616,0.0
2.3200521,1.512722,0.0
2.3551729,1.5170387,0.0
2.1773367,1.5269258,0.0
1.9259332,1.5595278,0.0
1.8263129,1.5730271,0.0
1.7700281,1.5927013,0.0
1.7123542,1.6074891,0.0
2.1402144,1.537398,0.0
2.1463404,1.5421852,0.0
2.019659,1.5772835,0.0
2.4292734,1.5226048,0.0
2.1197426,1.5549035,0.0
2.2630372,1.5399191,0.0
2.6975727,1.5090207,0.0
2.6856456,1.5261294,0.0
2.3069108,1.5421113,0.0
2.1767433,1.5632248,0.0
2.9502068,1.5030054,0.0
2.6930888,1.5348531,0.0
2.4927695,1.5412706,0.0
2.8014948,1.5140291,0.0
2.8656394,1.5229084,0.0
3.097863,1.5101293,0.0
2.6342099,1.5343555,0.0
2.6147597,1.5401499,0.0
3.0889993,1.5136238,0.0
3.1365113,1.5062658,0.0
2.8507729,1.5244812,0.0
3.1822317,1.503698,0.0
3.3271058,1.5007728,0.0
3.2077472,1.498426,0.0
3.3310883,1.4947189,0.0
3.3285594,1.4939345,0.0
3.3831003,1.4927839,0.0
3.4810035,1.4824692,0.0
3.8608189,1.4484153,0.0
3.6363213,1.4699146,0.0
3.4785883,1.4808553,0.0
2.9638574,1.5298059,0.0
3.826881,1.4608103,0.0
3.5964317,1.4693936,0.0
3.3251226,1.5034134,0.0
3.4221458,1.4948139,0.0
3.6964478,1.4635116,0.0
3.858962,1.4449017,0.0
4.0997663,1.4233167,0.0
3.9825587,1.4322302,0.0
4.2676396,1.4003806,0.0
4.2592707,1.401919,0.0
4.036821,1.4248832,0.0
4.3162575,1.3892357,0.0
4.0067215,1.4253722,0.0
4.2331963,1.3978668,0.0
4.3502274,1.3831911,0.0
4.6099405,1.3503745,0.0
4.0409207,1.417453,0.0
4.2842245,1.3874297,0.0
4.8575234,1.3038552,0.0
4.697781,1.3294419,0.0
4.451906,1.3595059,0.0
4.254489,1.3880593,0.0
4.7101107,1.3235294,0.0
4.713873,1.3219457,0.0
4.4629173,1.3547151,0.0
4.782701,1.3011764,0.0
4.95724,1.2635833,0.0
4.8847284,1.2797223,0.0
4.7136564,1.3044715,0.0
4.540763,1.3343832,0.0
5.0502543,1.2481562,0.0
4.8564467,1.2819841,0.0
