c1,c2,y
-5.9563885,3.7662807,0.0
-4.254813,3.198951,0.0
-4.0482883,3.1482785,0.0
-5.533913,3.6088839,0.0
-4.832691,3.3700957,0.0
-3.7345788,3.078811,0.0
-3.926718,3.1167579,0.0
-3.8248453,3.093102,0.0
-4.3321633,3.216872,0.0
-4.961546,3.4082215,0.0
-5.1922646,3.4863982,0.0
-5.325164,3.532525,0.0
-5.4510064,3.5743012,0.0
-4.432592,3.2440844,0.0
-4.4164166,3.2387142,0.0
-4.7431955,3.334576,0.0
-3.608791,3.047186,0.0
-4.4881973,3.2583296,0.0
-4.093611,3.1516004,0.0
-2.7239482,2.9432206,0.0
-2.7718403,2.9373708,0.0
-3.9662519,3.1191702,0.0
-4.3351293,3.210972,0.0
-1.8071471,2.9846299,0.0
-2.7411938,2.9303803,0.0
-3.4218237,3.0070498,0.0
-2.3363502,2.934323,0.0
-2.106068,2.9409804,0.0
-1.3446966,3.0740395,0.0
-2.960751,2.947473,0.0
-3.025725,2.9519246,0.0
-1.3725656,3.064967,0.0
-1.2291937,3.1078773,0.0
-2.1604047,2.9362519,0.0
-1.0973015,3.1492908,0.0
-0.69757205,3.3007777,0.0
-1.0238942,3.1761475,0.0
-0.68501914,3.308091,0.0
-0.6920109,3.3053107,0.0
-0.5399657,3.3740923,0.0
-0.265592,3.504819,0.0
0.77222383,4.064186,0.0
0.15086207,3.7218914,0.0
-0.27551687,3.5022264,0.0
-1.7653551,2.9749823,0.0
0.6721514,4.007771,0.0
0.04602127,3.6683009,0.0
-0.7036752,3.297339,0.0
-0.428903,3.4246542,0.0
0.32144073,3.8140254,0.0
0.7684029,4.062253,0.0
1.3963429,4.4177513,0.0
1.1050714,4.252265,0.0
1.7855552,4.6451406,0.0
1.7649028,4.632316,0.0
1.2460774,4.3327703,0.0
1.8980346,4.707881,0.0
1.1700925,4.289561,0.0
1.703884,4.596303,0.0
1.9723495,4.751933,0.0
2.464522,5.037342,0.0
1.2587553,4.3403926,0.0
1.8256544,4.665959,0.0
3.017778,5.357508,0.0
2.6490712,5.144626,0.0
2.1766672,4.8706737,0.0
1.7600256,4.629086,0.0
2.6800845,5.1616535,0.0
2.6891022,5.1669064,0.0
2.1982248,4.8832383,0.0
2.861229,5.266018,0.0
3.2723444,5.5020757,0.0
3.094695,5.401007,0.0
2.6971138,5.168605,0.0
2.341845,4.967338,0.0
3.50206,5.6320167,0.0
3.0282633,5.3639646,0.0
3.0258565,5.362481,0.0
2.6613297,5.150451,0.0
2.6966193,5.1723847,0.0
3.4406826,5.597094,0.0
3.416731,5.58471,0.0
3.531663,5.648234,0.0
3.2711658,5.49973,0.0
2.881934,5.2763634,0.0
4.0531855,5.945195,0.0
3.678387,5.733399,0.0
3.4068568,5.577286,0.0
4.3978815,6.1340833,0.0
4.056671,5.947314,0.0
4.1889157,6.018103,0.0
4.8144383,6.367817,0.0
5.1433873,6.535169,0.0
4.844736,6.384559,0.0
4.1124463,5.977459,0.0
5.504306,6.9142137,0.0
4.5121694,6.1982055,0.0
4.840174,6.3823967,0.0
4.803671,6.36623,0.0
4.5730762,6.2343326,0.0
5.531563,6.610689,0.0
5.164142,6.543082,0.0
5.391718,6.8160405,0.0
5.4414043,6.865324,0.0
5.3468027,6.6961617,0.0
5.619539,6.6461744,0.0
6.2272916,6.939385,0.0
5.4987583,6.6090045,0.0
5.505093,6.609313,0.0
6.750782,7.150334,0.0
6.729578,7.1390324,0.0
5.8537035,6.7630033,0.0
6.0606394,6.9276195,0.0
5.1837254,6.551092,0.0
5.4321756,6.85405,0.0
6.6092944,7.54097,0.0
5.819538,7.012342,0.0
5.9468093,6.9597387,0.0
6.4301434,7.0217276,0.0
5.8348846,7.020439,0.0
6.169917,7.29498,0.0
6.27364,7.3746037,0.0
6.6796904,7.1172,0.0
6.984955,7.3167067,0.0
6.5446315,7.5155168,0.0
6.5997834,7.074037,0.0
6.5272956,7.0462985,0.0
7.242501,7.476625,0.0
6.361684,7.4022427,0.0
7.370772,7.872117,0.0
7.2600665,7.829607,0.0
6.2953463,7.38136,0.0
6.5453424,7.513886,0.0
6.91117,7.2637796,0.0
6.85423,7.614479,0.0
7.50682,7.9290404,0.0
7.4838395,7.6525598,0.0
6.8308167,7.609394,0.0
7.3431273,7.5885234,0.0
7.8187237,7.8385353,0.0
7.7124815,7.8163657,0.0
8.046087,8.062892,0.0
8.092447,8.155406,0.0
6.8252406,7.6087437,0.0
7.2586937,7.8249574,0.0
8.420978,8.35183,0.0
9.509187,8.990629,0.0
7.501224,7.6663833,0.0
7.769258,7.808884,0.0
8.765346,8.514909,0.0
8.752142,8.33306,0.0
7.8851447,8.065546,0.0
7.501737,7.6769953,0.0
8.319253,8.165975,0.0
8.708684,8.459206,0.0
8.291963,8.153319,0.0
8.290841,8.152602,0.0
9.321109,8.865292,0.0
7.855646,8.051523,0.0
8.796216,8.32713,0.0
9.649633,8.6771965,0.0
9.314988,8.549704,0.0
8.526857,8.356926,0.0
9.346372,8.552343,0.0
9.383834,8.903731,0.0
8.223632,8.112665,0.0
9.053302,8.706063,0.0
10.013436,8.859529,0.0
9.709189,8.6842785,0.0
8.884585,8.653417,0.0
9.117661,8.747818,0.0
9.465115,8.9618025,0.0
10.013341,8.858262,0.0
9.756719,8.7140465,0.0
10.456283,9.057746,0.0
8.924545,8.363208,0.0
8.966533,8.377473,0.0
10.365412,9.265417,0.0
9.649255,9.029474,0.0
9.38985,8.566496,0.0
10.392613,9.010984,0.0
10.193184,9.285374,0.0
10.426812,9.307272,0.0
10.483686,9.248803,0.0
10.4078245,9.024313,0.0
10.081452,8.884093,0.0
11.044116,9.470302,0.0
10.485296,9.160443,0.0
10.854668,9.416538,0.0
11.20796,9.558062,0.0
10.1672125,9.273655,0.0
10.397792,9.308513,0.0
9.995237,9.198237,0.0
9.9081545,9.148304,0.0
11.151846,9.533101,0.0
11.113114,9.515121,0.0
11.497162,9.696642,0.0
12.414759,10.096542,0.0
12.160312,9.994351,0.0
10.516455,9.268487,0.0
11.770875,9.824028,0.0
11.993189,9.915631,0.0
